,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p style=""text-align: left;"">El Servei Català de Trànsit (SCT) informa que ahir a la tarda es va registrar un  sinistre viari mortal al punt quilomètric 9 de la LV-2001 a Juneda (les Garrigues). Els Mossos d’Esquadra van rebre l’avís a les 19.39 hores.</p>
<p style=""text-align: left;"">Per causes que encara s’estan investigant, un turisme i un tractor es van veure implicats en una col·lisió posterior. Com a conseqüència del xoc, el conductor del tractor va resultar ferit crític i va ser traslladat per efectius del Sistema d’Emergències Mèdiques (SEM) a l’Hospital Arnau de Vilanova, on aquest matí ha mort. La víctima mortal és I.V.S, de 56 anys i veí de Torregrossa.</p>
<p style=""text-align: left;"">Arran del sinistre es van activar  tres patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies del SEM.</p>
<p style=""text-align: left;"">El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p style=""text-align: left;"">12 de gener de 2016<br/>13.45 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160114_acc_LV2001
332," Dilluns, 11 de gener de 2016",  15.49 , C-63 al punt quilomètric 49 a Amer (Selva),11/01/2016,19:40,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dilluns, 11 de gener de 2016</strong><strong><br/>HORA D'AVÍS:  15.49 h<br/>VIA: C-63 al punt quilomètric 49 a Amer (Selva)</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que aquesta tarda s’ha registrat un sinistre viari mortal al punt quilomètric 49 de la C-63 a Amer (Selva). Els Mossos d’Esquadra han rebut l’avís a les 15.49 hores. </p>
<p>Per causes que encara s’estan investigant, un turisme ha sortit de la via i la conductora i única ocupant del vehicle, A M. P. T, de 51 anys i veïna d’Olot, ha resultat morta. Arran del sinistre s’han activat quatre patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat, que han realitzat tasques d’excarceració, i una ambulància i l’helicòpter medicalitzat del SEM.</p>
<p>Pel que fa a afectació viària, la carretera ha estat restringida totalment al trànsit durant dues hores i ha provocat retencions en ambdós sentits. </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>11 de gener de 2016<br/>19.30 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160111_acc_C63
333," Diumenge, 10 de gener de 2016",  11.53 ," C-58 al punt quilomètric 4,4 a ",10/01/2016,11:53,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Diumenge, 10 de gener de 2016</strong><strong><br/> HORA D'AVÍS:  11.53 h<br/> VIA: C-58 al punt quilomètric 4,4 a </strong><strong>Ripollet</strong><strong> (Vallès Occidental)</strong><strong></strong></p>
<p>El Servei Català de Trànsit (SCT) informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 4,4 de la C-58 a Ripollet (Vallès Occidental) en sentit Barcelona. Els Mossos d’Esquadra han rebut l’avís a les 11.53 hores.</p>
<p>Per causes que encara s’estan investigant, el conductor d’un turisme que circulava en contra direcció ha mort en col·lidir frontalment amb un altre turisme. El finat és J.M.G.B., de 77 anys i veí de Sabadell. Els dos ocupants de l’altre turisme han resultat ferits greus i han estat traslladats a l’hospital Parc Taulí de Sabadell en ambulància pel Sistema d’Emergències Mèdiques (SEM).</p>
<p>Arran del sinistre s’han activat sis patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat, i set ambulàncies del SEM.</p>
<p>Pel que fa a afectació viària, la via s’ha hagut de tallar completament durant una estona i s’han fet desviaments pel lateral. S’han registrat fins a 4 km de circulació amb congestió. La circulació ha quedat normalitzada a les 14.35 h aproximadament.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>10 de gener de 2016<br/> 18.35 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160110_C_58
334," Dissabte, 9 de gener de 2016",  05.21 ," C-55 al punt quilomètric 16,1 a Castellbell i el Vilar (Bages)",09/01/2016,05:21,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dissabte, 9 de gener de 2016<br/>HORA D'AVÍS:  05.21 h<br/>VIA: C-55 al punt quilomètric 16,1 a Castellbell i el Vilar (Bages)</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que la matinada d’ahir dissabte es va registrar un sinistre viari mortal al punt quilomètric 16,1 de la C-55 a Castellbell i el Vilar (Bages). Els Mossos d’Esquadra van rebre l’avís a les 05.21 hores.</p>
<p>Per causes que encara s’estan investigant, una persona que caminava pel voral va ser atropellada per un camió i va morir a l’acte. El finat és R.G.F., de 42 anys i veí de Cabrera de Mar.</p>
<p>Arran de la incidència es van activar nou patrulles dels Mossos d’Esquadra i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>10 de gener de 2016<br/>11.55 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160109_C_55
335," Dimecres, 6 de gener de 2016",  09.37 ," C-154 al punt quilomètric 11,1 a Sant Bartomeu del Grau (Osona)",06/01/2016,21:37,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dimecres, 6 de gener de 2016</strong><strong><br/> HORA D'AVÍS:  09.37 h<br/> VIA: C-154 al punt quilomètric 11,1 a Sant Bartomeu del Grau (Osona)</strong></p>
<p>El Servei Català de Trànsit (SCT) informa que s’ha registrat un sinistre viari mortal al punt quilomètric 11,1 de la C-154 a Sant Bartomeu del Grau (Osona). Els Mossos d’Esquadra han rebut l’avís aquest matí a les 09.37 hores.</p>
<p>Per causes que encara s’estan investigant, un turisme ha sortit de la via i han mort la conductora, P.M.G., de 80 anys, i el passatger, G.G.M., de 88 anys, tots dos amb veïnatge a Vic.</p>
<p>Arran de la incidència s’han activat sis patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d'Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>06 de gener de 2016<br/> 13.50 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20160106_C_154
336," Dijous, 31 de desembre de 2015",  17.00 ," C-65 al punt quilomètric 21,8 a ",31/12/2015,10:10,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dijous, 31 de desembre de 2015</strong><strong><br/>HORA D'AVÍS:  17.00 h<br/>VIA: C-65 al punt quilomètric 21,8 a </strong><strong>Cassà</strong><strong> de la Selva (Gironès)</strong></p>
<p> </p>
<p> </p>
<p>El Servei Català de Trànsit (SCT) informa que ahir a la tarda es va registrar un sinistre viari mortal al punt quilomètric 21,8 de la C-65 a Cassà de la Selva (Gironès). Els Mossos d’Esquadra van rebre l’avís a les 17.00 hores.</p>
<p> </p>
<p>Per causes que encara s’estan investigant, una motocicleta es va sortir de la via i va topar contra un senyal de trànsit. El conductor i únic ocupant, D.L.G, de 40 anys any i amb veïnatge a Palamós va morir en el sinistre.</p>
<p> </p>
<p>Arran de la incidència es van activar quatre patrulles dels Mossos d’Esquadra, una dotació dels Bombers de la Generalitat i dues ambulàncies del SEM.</p>
<p> </p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p>01 de gener de 2016<br/>10.00 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20151231_c_65
337," Dissabte, 30", 23.26</strong><strong> ," C-37, al punt quilomètric 155 a Torelló",31/12/2017,11:43,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dissabte, 30</strong><strong> de desembre de 2017</strong></p>
<p><strong>HORA D'AVÍS: 23.26</strong><strong> h</strong></p>
<p><strong>VIA: C-37, al punt quilomètric 155 a Torelló</strong><strong> (</strong><strong>Osona</strong><strong>)</strong></p>
<p>El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal a la C-37 al punt quilomètric 155, al terme municipal de Torelló (Osona). Els Mossos d’Esquadra van rebre l’avís a les 23.26 h.</p>
<p>Per causes que s'estan investigant, es va produir una col·lisió frontal entre dos turismes en la qual també s’hi van veure implicats dos cotxes més i un camió. Com a conseqüència del sinistre, van resultar morts els conductors de dos dels turismes involucrats. Es tracta de N.C.G., de 66 anys i veí de Sant Jaume de Llierca i de K.T.L, de 23 anys i veí d’Olot. A més, en el sinistre hi va haver una persona ferida crítica, traslladada a l’Hospital Vall d’Hebron, una persona ferida menys greu i dues més ferides lleus, que van ser traslladades a l’Hospital de Vic.</p>
<p>Arran de la incidència, es van activar cinc patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat i cinc ambulàncies del Sistema d’Emergències Mèdiques (SEM), que també va activar el servei de suport psicològic.</p>
<p>Quant a l'afectació viària, la circulació es va tallar en el tram de l’accident fins a les 04.03 h aproximadament, quan la via es va reobrir.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>31 de desembre de 2017</p>
<p>10.55 h</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20171230_acc_C_37
338," Dissabte, 30 de desembre de 2017", 20.35 ," TP-7225, al punt quilomètric 5,50 a Constantí (Tarragonès)",31/12/2017,11:40,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>DIA: Dissabte, 30 de desembre de 2017</strong></p>
<p><strong>HORA D'AVÍS: 20.35 h</strong></p>
<p><strong>VIA: TP-7225, al punt quilomètric 5,50 a Constantí (Tarragonès)</strong></p>
<p> </p>
<p>El Servei Català de Trànsit informa que ahir al vespre es va registrar un sinistre viari mortal a la TP-7225 al punt quilomètric 5,50, al terme municipal de Constantí (Tarragonès). Els Mossos d’Esquadra van rebre l’avís a les 20.35 h.</p>
<p>Per causes que s'estan investigant, es va produir una col·lisió entre un turisme i una motocicleta i el conductor del vehicle de dues rodes va resultar mort. Es tracta de S.F.R., de 45 anys i veí de Tarragona.</p>
<p>Arran de la incidència, es van activar sis patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM), que també va activar el servei de suport psicològic.</p>
<p>Quant a l'afectació viària, la calçada es va tallar en el tram de l’accident fins a les 22.07 h aproximadament.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268.</p>
<p> </p>
<p>31 de desembre de 2017</p>
